sep=;
date;time;asset_name;type;asset_price;units;fees;total;source_file
2025-09-01;09:12;Core S&P 500 USD (Acc);buy;128.44;0.389289;0.0;50.0;IMG_0001.PNG
2025-09-01;09:15;Physical Gold USD (Acc);buy;52.1;0.191939;0.0;10.0;IMG_0002.PNG
2025-09-04;18:02;Bitcoin;buy;54210.0;0.001845;1.0;101.02;IMG_0003.PNG
2025-09-15;12:30;Core S&P 500 USD (Acc);buy;130.02;0.038456;0.0;5.0;IMG_0004.PNG
2025-10-01;09:12;Core S&P 500 USD (Acc);buy;133.75;0.373831;0.0;50.0;IMG_0005.PNG
2025-10-06;20:44;Bitcoin;sell;58900.0;0.001699;1.0;99.08;IMG_0006.PNG
2025-10-20;11:05;Physical Gold USD (Acc);buy;55.3;0.045208;0.0;2.5;IMG_0007.PNG
2025-11-03;09:12;Core S&P 500 USD (Acc);buy;136.9;0.36523;0.0;50.0;IMG_0008.PNG
2025-11-03;09:20;S&P 500 EUR (Acc);pea;0.0;0.0;0.0;30.2;IMG_0009.PNG
2025-11-28;16:41;Physical Gold USD (Acc);sell;57.8;0.865052;0.0;50.0;IMG_0010.PNG
